time,open,high,low,close,volume
2023-08-16T06:45:00.000Z,1906.45,1906.49,1904.85,1905.52,1163
2023-08-16T07:00:00.000Z,1905.52,1905.7,1904.48,1905,1619
2023-08-16T07:15:00.000Z,1904.98,1905.18,1903.5,1903.5,1307
2023-08-16T07:30:00.000Z,1903.5,1904.2,1902.82,1904.2,1343
2023-08-16T07:45:00.000Z,1904.18,1905.06,1903.93,1904.57,1249
2023-08-16T08:00:00.000Z,1904.56,1904.68,1903.77,1904.31,1089
2023-08-16T08:15:00.000Z,1904.34,1905.04,1903.45,1904.74,1050
2023-08-16T08:30:00.000Z,1904.73,1905.73,1904.58,1904.98,1266
2023-08-16T08:45:00.000Z,1905.01,1905.55,1904.8,1905.4,943
2023-08-16T09:00:00.000Z,1905.43,1906.79,1905.25,1906.76,1173
2023-08-16T09:15:00.000Z,1906.77,1907.13,1906.43,1906.89,1012
2023-08-16T09:30:00.000Z,1906.88,1907.2,1905.75,1905.8,954
2023-08-16T09:45:00.000Z,1905.78,1906.43,1905.47,1906.06,859
2023-08-16T10:00:00.000Z,1906.04,1906.69,1906.03,1906.38,816
2023-08-16T10:15:00.000Z,1906.38,1906.79,1905.69,1906.64,915
2023-08-16T10:30:00.000Z,1906.67,1906.75,1906.08,1906.3,749
2023-08-16T10:45:00.000Z,1906.29,1906.58,1905.77,1906.08,976
2023-08-16T11:00:00.000Z,1906.08,1906.69,1905.38,1905.54,909
2023-08-16T11:15:00.000Z,1905.58,1905.87,1905.17,1905.21,680
2023-08-16T11:30:00.000Z,1905.22,1905.33,1903.77,1904.12,932
2023-08-16T11:45:00.000Z,1904.11,1904.14,1903.1,1903.11,1135
2023-08-16T12:00:00.000Z,1903.1,1904.03,1902.65,1903.58,1362
2023-08-16T12:15:00.000Z,1903.5,1904.18,1900.82,1901.85,2043
2023-08-16T12:30:00.000Z,1901.86,1904.21,1900.89,1902.75,2601
2023-08-16T12:45:00.000Z,1902.74,1903.14,1900.04,1900.76,2480
2023-08-16T13:00:00.000Z,1900.78,1902.38,1900.28,1900.9,2158
2023-08-16T13:15:00.000Z,1900.89,1904.15,1899.49,1903.29,2274
2023-08-16T13:30:00.000Z,1903.27,1905.88,1902.46,1905.01,3382
2023-08-16T13:45:00.000Z,1904.95,1906.49,1903.47,1904.21,2925
2023-08-16T14:00:00.000Z,1904.18,1906.02,1903.23,1904.02,2626
2023-08-16T14:15:00.000Z,1904,1905.53,1903.39,1904.79,2646
2023-08-16T14:30:00.000Z,1904.75,1905.1,1903.42,1904.49,2312
2023-08-16T14:45:00.000Z,1904.5,1904.95,1903.5,1904.65,2008
2023-08-16T15:00:00.000Z,1904.65,1904.84,1903,1903.81,2008
2023-08-16T15:15:00.000Z,1903.79,1904.29,1903.02,1903.15,1710
2023-08-16T15:30:00.000Z,1903.14,1903.31,1902.02,1902.12,1586
2023-08-16T15:45:00.000Z,1902.07,1903.02,1901.39,1901.92,1844
2023-08-16T16:00:00.000Z,1901.93,1902.59,1900.66,1901.07,1608
2023-08-16T16:15:00.000Z,1901.06,1901.06,1899.41,1899.78,1686
2023-08-16T16:30:00.000Z,1899.8,1900.9,1899.18,1900.35,1588
2023-08-16T16:45:00.000Z,1900.36,1900.49,1898.87,1899.46,1433
2023-08-16T17:00:00.000Z,1899.47,1899.55,1897.9,1899.12,1672
2023-08-16T17:15:00.000Z,1899.15,1899.55,1897.72,1897.81,1420
2023-08-16T17:30:00.000Z,1897.82,1898.51,1896.95,1898.06,1658
2023-08-16T17:45:00.000Z,1898.06,1898.79,1897.5,1898.41,1184
2023-08-16T18:00:00.000Z,1898.42,1898.71,1895.33,1896.85,2501
2023-08-16T18:15:00.000Z,1896.83,1899.68,1896.82,1898.06,2391
2023-08-16T18:30:00.000Z,1898.05,1898.76,1896.01,1896.21,1613
2023-08-16T18:45:00.000Z,1896.29,1896.35,1894.6,1895.01,1752
2023-08-16T19:00:00.000Z,1894.97,1895.51,1893.55,1894.07,1654
2023-08-16T19:15:00.000Z,1894.05,1894.88,1892.81,1892.98,1956
2023-08-16T19:30:00.000Z,1893,1894.1,1892.37,1892.64,1502
2023-08-16T19:45:00.000Z,1892.65,1893.08,1891.83,1892.24,1226
2023-08-16T20:00:00.000Z,1892.2,1893.17,1892.03,1893.07,786
2023-08-16T20:15:00.000Z,1892.99,1893.63,1892.65,1893.63,507
2023-08-16T20:30:00.000Z,1893.61,1893.68,1892.55,1892.93,459
2023-08-16T20:45:00.000Z,1892.91,1893.13,1891.76,1891.82,475
2023-08-16T22:00:00.000Z,1894.08,1894.91,1893.95,1894.86,536
2023-08-16T22:15:00.000Z,1894.85,1894.94,1894.27,1894.49,459
2023-08-16T22:30:00.000Z,1894.49,1894.73,1894.24,1894.53,221
2023-08-16T22:45:00.000Z,1894.52,1894.61,1894.27,1894.36,124
2023-08-16T23:00:00.000Z,1894.37,1894.39,1893.21,1893.45,694
2023-08-16T23:15:00.000Z,1893.47,1893.88,1892.75,1892.75,452
